연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
87,자연,자연,석문산,Seongmunsan Mountain,2025-09-22
88,자연,자연,어등산,Mt. Eodeung,2025-09-22
89,자연,자연,용진산,Yongjinsan Mountain,2025-09-22
90,역사/전통,5·18/광주학생운동,무등경기장정문(사적18호),Main Gate of Mudeung Sports Stadium (Historical Site No. 18),2025-09-22
91,역사/전통,5·18/광주학생운동,배고픈다리(사적13호),Baegopeun(hungry) Bridge (Historical Site No. 13),2025-09-22
92,예술/문화,문화유산,양림동 호랑가시나무,Yangnim-dong Holly,2025-09-22
93,예술/문화,문화유산,양송천 묘역,Yang Songcheon’s Cemetary ,2025-09-22
94,예술/문화,문화유산,양씨 삼강문,Samgang Gate for the Yang Clan,2025-09-22
95,예술/문화,문화유산,월계동 장고분,Wolgye-dong Ancient Tombs,2025-09-22
96,예술/문화,문화유산,전상의장군 예장석묘,General Jeon Sangui’s Yejangseokmyo(picture-inscribed stone tomb),2025-09-22
97,예술/문화,문화유산,광산노씨 분묘출토 명기류,Exquisite Vessels excavated from Gwangsan Noh Clan’s cemetary,2025-09-22
98,역사/전통,전통가옥/근대건축,최승효 가옥,Choi Seunghyo’s House ,2025-09-22
99,예술/문화,문화유산,입석마을 입석,Menhir in Ibseok-maeul,2025-09-22
100,예술/문화,문화유산,필문 이선제 부조묘,Pilmun (pen name) Yi Seonjae's Shrine,2025-09-22
101,예술/문화,문화유산,판소리고법,Pansori Gobeop(Drum Playing Method to Pansori-a Korean traditional-style opera),2025-09-22
102,역사/전통,5·18/광주학생운동,광주MBC옛터(사적7호),Old Site of Gwangju MBC (Historical Site No. 7),2025-09-22
103,역사/전통,5·18/광주학생운동,광주YMCA(사적5-4호),Old Site of Gwangju YMCA (Historical Site No. 5-4),2025-09-22
104,역사/전통,5·18/광주학생운동,광주YWCA옛터(사적6호),Old Site of Gwangju YWCA (Historical Site No. 6),2025-09-22
105,역사/전통,5·18/광주학생운동,구 광주적십자병원(사적11호),Former Gwangju Red Cross Hospital (Historical Site No.11),2025-09-22
106,역사/전통,5·18/광주학생운동,상무관(사적5-3호),Sangmugwan (Historical Site No. 5-3) ,2025-09-22
107,역사/전통,5·18/광주학생운동,상무대옛터(사적17호),Old Site of Sangmudae (Historical Site No. 17),2025-09-22
108,역사/전통,5·18/광주학생운동,양동시장(사적19호),Yangdong Market (Historical Site No. 19),2025-09-22
109,역사/전통,5·18/광주학생운동,옛 상무대 영창,Former Sangmudae Guardhouse (Sangmudae-military training facility),2025-09-22
110,역사/전통,5·18/광주학생운동,전남대병원(사적9호),Chonnam National University Hospital (Historical Site No.9),2025-09-22
111,역사/전통,5·18/광주학생운동,전남대학교 정문(사적1호),Chonnam National University  (Historical Site No. 1),2025-09-22
112,역사/전통,5·18/광주학생운동,조선대학교(사적12호),Chosun Univesity (Historical Site No. 12),2025-09-22
113,역사/전통,5·18/광주학생운동,주남마을 인근 양민학살지(사적14호),Junam Village Neighboring People Massacred Place (Historical Site No. 14),2025-09-22
114,역사/전통,5·18/광주학생운동,광주학생독립운동기념관,Gwangju Student Independence Movement Memorial Hall,2025-09-22
115,예술/문화,선비문화,경열사,Geongyeolsa Shrine,2025-09-22
116,예술/문화,선비문화,충민사,Chungminsa Shrine,2025-09-22
117,예술/문화,선비문화,충장사,Chungjangsa Shrine,2025-09-22
118,예술/문화,선비문화,취가정,Chwigajeong Pavilion,2025-09-22
119,예술/문화,선비문화,풍암정,Pungam Pavilion,2025-09-22
120,거리,이색거리,서창향토마을,Seochang Folk Village,2025-09-22
121,거리,이색거리,시화문화마을,Sihwa Culture Village,2025-09-22
122,거리,이색거리,정율성거리,Jeong Yulseong Street,2025-09-22
123,역사/전통,5·18/광주학생운동,구 국군광주병원(사적23호),Former Armed Forces Gwangju Hospital (Historical Site No. 23),2025-09-22
124,예술/문화,선비문화,만취정,Manchwijeong Pavilion ,2025-09-22
125,예술/문화,선비문화,무양서원,Muyang Seowon Confucian School,2025-09-22
126,예술/문화,선비문화,부용정,Buyongjeong Pavilion,2025-09-22
127,예술/문화,선비문화,양과동정,Yanggwadongjeong Pavilion,2025-09-22
128,예술/문화,선비문화,용진정사,Yongjinjeongsa Shrine,2025-09-22
