연번,구분,세부구분,시설명,시설명영문명,데이터기준일자,주소,위도,경도,지오코딩상태,재시도방법
473,숙박,관광호텔·호스텔,ACC DESIGN HOTEL,ACC DESIGN HOTEL,2025-09-22,광주 동구 금남로2가 28,35.14864466605776,126.91651923522797,success,
474,숙박,관광호텔·호스텔,CS 호텔,CS Hotel,2025-09-22,제주특별자치도 서귀포시 중문동 2563-1,33.24291555675162,126.42029310805967,success,
475,숙박,관광호텔·호스텔,광주관광호텔,Gwangju Tourist Hotel ,2025-09-22,광주 북구 오치동 856-62,35.19233019689493,126.901368191079,success,
476,숙박,관광호텔·호스텔,호텔프랑스,Hotel France ,2025-09-22,부산 동래구 온천동 47-4,35.222521025108826,129.08102826825044,success,
477,숙박,관광호텔·호스텔,H1 Hotel (에이치원호텔),H1 Hotel,2025-09-22,서울 금천구 가산동 139-26,37.479392492626864,126.88850279891844,success,korean_cleaned
478,숙박,관광호텔·호스텔,홀리데이 인 광주호텔,Holiday Inn Gwangju,2025-09-22,광주 서구 치평동 573-1,35.147637008880146,126.83820936828113,success,
479,숙박,외국인도시민박업,산월게스트하우스,Sanwol Guesthouse,2025-09-22,,,,not_found,
480,숙박,한옥스테이,여로,Yeoro,2025-09-22,충남 공주시 소학동 447-1,36.437115346419,127.150259544817,success,
481,숙박,관광호텔·호스텔,Culture Hotel Laam(컬처호텔 람),Culture Hotel LAAM,2025-09-22,,,,not_found,
482,숙박,외국인도시민박업,윔즈홈,wimzhome,2025-09-22,,,,not_found,
483,숙박,외국인도시민박업,발산하우스,Balsan House,2025-09-22,광주 서구 양동 438-378,35.16012094625,126.891673801122,success,
484,숙박,외국인도시민박업,스테이702,Stay 702,2025-09-22,서울 종로구 수송동 156,37.57253694035176,126.98115799085134,success,korean_cleaned
485,숙박,외국인도시민박업,달이하우스,Dal2 House,2025-09-22,제주특별자치도 제주시 구좌읍 행원리 1511-3,33.557270620140145,126.80285668550319,success,
486,숙박,외국인도시민박업,푸른동산,Blue Garden,2025-09-22,경기 가평군 청평면 청평리 699-3,37.7280877184934,127.409669381915,success,
487,숙박,외국인도시민박업,아리네 게스트하우스,Ariene Guesthouse,2025-09-22,광주 남구 양림동 201-242,35.1416082743525,126.915993119679,success,
