DIST,RANK,KEYWORD,LOG_ODDS,COUNT_IN_DIST,COUNT_IN_OTHERS
동구,1,처리,7.313690672301754,5,0
동구,2,극장,7.089489505299046,4,0
동구,3,기간,6.8010842684235735,3,0
동구,4,곡선,6.8010842684235735,3,0
동구,5,선사,6.8010842684235735,3,0
동구,6,공립,6.8010842684235735,3,0
동구,7,대웅전,6.8010842684235735,3,0
동구,8,다양,6.8010842684235735,3,0
동구,9,조경,6.8010842684235735,3,0
동구,10,소학교,6.8010842684235735,3,0
동구,11,사찰,6.3957272488159695,2,0
동구,12,심상,6.3957272488159695,2,0
